ID_inventario;ID_producto;Stock_kg;Ubicacion
597;460;5098;Bodega Sur
598;410;7204;Bodega Norte
599;359;5718;Bodega Norte
600;78;5471;Bodega Sur
601;373;6928;Puerto
602;4;8867;Bodega Norte
603;269;9932;Puerto
604;206;6244;Bodega Sur
605;285;3521;Bodega Norte
606;362;4886;Bodega Norte
607;159;769;Bodega Sur
608;372;9711;Puerto
609;469;7141;Bodega Norte
610;232;5676;Puerto
611;37;6256;Bodega Norte
612;98;1860;Puerto
613;95;3492;Bodega Sur
614;144;6451;Puerto
615;357;9776;Puerto
616;208;148;Bodega Norte
617;312;1497;Bodega Norte
618;389;2592;Bodega Norte
619;65;6424;Bodega Sur
620;122;1918;Bodega Sur
621;97;2126;Puerto
622;291;8384;Puerto
623;316;8755;Bodega Sur
624;134;3382;Puerto
625;362;254;Puerto
626;186;8695;Bodega Sur
627;13;3957;Bodega Sur
628;460;2886;Puerto
629;422;2971;Puerto
630;482;3226;Bodega Norte
631;452;9774;Puerto
632;276;5051;Bodega Sur
633;204;5517;Bodega Norte
634;82;2990;Bodega Norte
635;204;7101;Puerto
636;115;4942;Puerto
637;60;1715;Puerto
638;364;8681;Bodega Sur
639;472;9567;Bodega Norte
640;72;1088;Bodega Sur
641;170;2669;Puerto
642;152;6;Puerto
643;147;9145;Bodega Norte
644;356;8648;Puerto
645;89;5364;Bodega Norte
646;472;5316;Puerto
647;407;1153;Bodega Sur
648;321;5441;Bodega Norte
649;333;6925;Bodega Sur
650;394;153;Bodega Norte
651;191;2250;Bodega Sur
652;369;9239;Bodega Norte
653;178;7050;Bodega Sur
654;85;3704;Bodega Norte
655;479;6041;Puerto
656;281;2435;Puerto
657;378;4984;Bodega Norte
658;348;4199;Bodega Norte
659;312;9339;Bodega Norte
660;407;249;Bodega Sur
661;81;1773;Bodega Norte
662;400;409;Bodega Norte
663;209;9691;Bodega Norte
664;139;3419;Bodega Norte
665;386;1010;Puerto
666;478;5154;Puerto
667;57;832;Bodega Norte
668;350;2232;Bodega Sur
669;469;5273;Bodega Sur
670;185;950;Puerto
671;32;8408;Bodega Norte
672;234;5997;Bodega Norte
673;198;848;Bodega Sur
674;294;1108;Bodega Norte
675;249;6179;Bodega Norte
676;323;9339;Bodega Sur
677;409;529;Puerto
678;172;1074;Puerto
679;270;4956;Bodega Sur
680;122;4344;Puerto
681;24;3610;Bodega Norte
682;100;7458;Puerto
683;392;6315;Bodega Sur
684;362;234;Puerto
685;7;7546;Bodega Norte
686;355;4142;Puerto
687;352;8628;Bodega Sur
688;318;87;Bodega Norte
689;134;9485;Puerto
690;141;2425;Puerto
691;478;7676;Bodega Sur
692;325;1414;Bodega Norte
693;187;4441;Puerto
694;401;2589;Bodega Sur
695;57;1365;Bodega Sur
696;21;4020;Bodega Norte
697;397;4743;Puerto
698;201;4868;Bodega Norte
699;131;2813;Bodega Sur
700;215;4176;Puerto
701;426;1379;Puerto
702;386;6457;Bodega Sur
703;114;4642;Bodega Sur
704;355;9418;Bodega Norte
705;103;4656;Bodega Norte
706;56;7853;Bodega Norte
707;76;383;Bodega Sur
708;137;2684;Puerto
709;139;7077;Bodega Sur
710;370;4166;Bodega Norte
711;296;7112;Bodega Sur
712;175;8456;Puerto
713;449;1963;Bodega Norte
714;311;4553;Puerto
715;445;9110;Bodega Norte
716;136;6020;Bodega Sur
717;476;9392;Bodega Norte
718;354;9232;Bodega Sur
719;377;1789;Bodega Norte
720;154;2922;Puerto
721;188;4108;Puerto
722;446;5758;Bodega Sur
723;153;2825;Bodega Sur
724;276;3961;Bodega Sur
725;405;6039;Puerto
726;335;9928;Bodega Norte
727;404;47;Bodega Norte
728;124;1019;Bodega Norte
729;8;3476;Puerto
730;98;2683;Bodega Sur
731;150;4768;Bodega Norte
732;138;8019;Bodega Norte
733;174;1320;Puerto
734;88;7739;Puerto
735;154;2678;Bodega Sur
736;283;4861;Bodega Norte
737;21;8103;Bodega Norte
738;228;2377;Bodega Norte
739;488;9032;Puerto
740;51;6033;Puerto
741;301;9682;Puerto
742;306;4203;Bodega Sur
743;126;2144;Bodega Norte
744;173;3108;Puerto
745;213;5407;Bodega Norte
746;191;6342;Puerto
747;446;5020;Bodega Norte
748;211;9933;Bodega Sur
749;499;2097;Bodega Sur
750;19;8526;Bodega Norte
751;1;3562;Bodega Sur
752;364;8111;Bodega Norte
753;334;8297;Bodega Norte
754;461;6273;Bodega Sur
755;388;6022;Bodega Norte
756;351;4197;Puerto
757;469;1387;Bodega Norte
758;429;8710;Bodega Sur
759;39;9692;Puerto
760;160;696;Bodega Norte
761;316;1965;Bodega Norte
762;473;1562;Puerto
763;327;9666;Puerto
764;72;5252;Puerto
765;175;6456;Puerto
766;51;18;Puerto
767;200;3056;Bodega Sur
768;343;8378;Puerto
769;375;4487;Bodega Sur
770;361;4443;Bodega Norte
771;334;8449;Bodega Norte
772;150;7370;Bodega Sur
773;337;2234;Bodega Sur
774;141;7523;Bodega Sur
775;263;1245;Puerto
776;234;259;Bodega Norte
777;312;813;Puerto
778;307;1545;Puerto
779;291;2166;Bodega Norte
780;446;6904;Bodega Sur
781;232;7418;Bodega Sur
782;102;5620;Bodega Norte
783;267;4453;Bodega Sur
784;166;1547;Bodega Norte
785;432;9491;Bodega Sur
786;6;5212;Puerto
787;31;4442;Bodega Norte
788;469;6912;Bodega Sur
789;469;3486;Puerto
790;94;7709;Bodega Norte
791;51;9893;Bodega Sur
792;128;4159;Bodega Norte
793;39;6279;Bodega Sur
794;349;8187;Bodega Sur
795;259;8430;Bodega Norte
796;218;4517;Bodega Norte
797;235;5833;Bodega Norte
798;235;3179;Puerto
799;216;6298;Puerto
800;22;1281;Puerto
801;296;6309;Bodega Sur
802;107;4892;Bodega Norte
803;467;2696;Puerto
804;399;2779;Bodega Sur
805;342;4;Bodega Norte
806;32;9467;Bodega Sur
807;352;6658;Bodega Sur
808;315;2043;Bodega Sur
809;425;9326;Bodega Sur
810;333;4009;Bodega Sur
811;321;419;Puerto
812;492;9478;Puerto
813;122;1269;Bodega Norte
814;176;2895;Bodega Norte
815;84;1978;Bodega Sur
816;98;4610;Puerto
817;331;4369;Puerto
818;492;9605;Puerto
819;498;4509;Bodega Norte
820;96;8588;Bodega Norte
821;487;2427;Bodega Norte
822;175;189;Puerto
823;180;4700;Bodega Norte
824;473;126;Bodega Sur
825;56;7977;Bodega Sur
826;122;7460;Bodega Norte
827;339;7407;Puerto
828;300;8711;Bodega Sur
829;391;5657;Puerto
830;394;5494;Bodega Sur
831;230;5691;Bodega Norte
832;9;7528;Bodega Norte
833;191;7881;Bodega Sur
834;452;4435;Bodega Sur
835;428;938;Bodega Norte
836;485;9102;Bodega Norte
837;172;616;Bodega Sur
838;76;7087;Bodega Sur
839;290;4544;Bodega Sur
840;109;746;Puerto
841;27;2687;Bodega Norte
842;9;6961;Bodega Sur
843;500;292;Puerto
844;303;5189;Puerto
845;171;4756;Bodega Norte
846;336;8564;Bodega Sur
847;309;7986;Puerto
848;334;9067;Bodega Norte
849;38;3519;Bodega Norte
850;395;5773;Bodega Sur
851;57;1360;Bodega Norte
852;486;3218;Bodega Norte
853;136;1630;Bodega Sur
854;409;7228;Bodega Sur
855;288;3381;Bodega Sur
856;328;6025;Bodega Sur
857;382;1472;Puerto
858;90;2236;Bodega Norte
859;185;9924;Bodega Norte
860;474;2057;Puerto
861;86;6100;Bodega Norte
862;325;7464;Bodega Norte
863;149;8835;Bodega Sur
864;335;8458;Bodega Sur
865;389;444;Bodega Norte
866;92;3569;Puerto
867;234;4861;Bodega Sur
868;233;6485;Bodega Norte
869;406;505;Bodega Sur
870;353;5145;Bodega Sur
871;354;4101;Bodega Sur
872;452;7877;Puerto
873;315;3084;Puerto
874;495;4927;Puerto
875;116;4177;Puerto
876;118;9704;Puerto
877;220;10;Puerto
878;495;4816;Bodega Norte
879;401;6057;Puerto
880;337;8281;Bodega Sur
881;299;3461;Puerto
882;263;4503;Puerto
883;364;1735;Bodega Norte
884;126;4256;Bodega Sur
885;254;2004;Puerto
886;39;6566;Bodega Norte
887;162;8302;Bodega Norte
888;11;1491;Bodega Norte
889;256;6503;Bodega Norte
890;197;8496;Bodega Norte
891;408;9621;Puerto
892;151;1936;Bodega Sur
893;419;5494;Bodega Sur
894;473;183;Puerto
895;44;3913;Puerto
896;356;9402;Puerto
897;5;496;Puerto
898;129;7831;Bodega Norte
899;154;3379;Puerto
900;162;1567;Bodega Sur
901;82;4749;Puerto
902;269;1335;Puerto
903;260;2167;Puerto
904;210;8548;Bodega Sur
905;386;2216;Bodega Norte
906;104;8447;Bodega Norte
907;354;3429;Puerto
908;54;5013;Bodega Norte
909;113;885;Bodega Sur
910;279;7592;Bodega Norte
911;453;638;Puerto
912;447;5071;Bodega Norte
913;176;3751;Bodega Norte
914;398;6808;Puerto
915;385;3223;Bodega Norte
916;246;4751;Bodega Sur
917;397;6626;Puerto
918;17;1042;Bodega Sur
919;342;1021;Puerto
920;58;2884;Bodega Sur
921;107;2904;Bodega Norte
922;235;7045;Puerto
923;232;2347;Bodega Norte
924;390;7608;Bodega Sur
925;429;1002;Bodega Sur
926;226;3454;Bodega Norte
927;366;5392;Bodega Norte
928;163;2723;Puerto
929;450;8517;Puerto
930;446;8505;Bodega Norte
931;120;9101;Bodega Norte
932;141;2814;Puerto
933;177;7706;Puerto
934;42;1577;Puerto
935;364;5791;Bodega Norte
936;153;9426;Puerto
937;249;3716;Puerto
938;83;649;Bodega Norte
939;285;8875;Bodega Sur
940;117;5864;Puerto
941;349;1905;Bodega Sur
942;374;1110;Puerto
943;61;5303;Puerto
944;217;2936;Bodega Norte
945;140;306;Bodega Norte
946;65;8925;Bodega Norte
947;285;9709;Bodega Sur
948;286;4438;Bodega Norte
949;190;8369;Puerto
950;72;2313;Bodega Sur
951;223;676;Puerto
952;309;9680;Puerto
953;170;7176;Bodega Sur
954;146;7981;Bodega Sur
955;329;4935;Bodega Norte
956;315;7223;Puerto
957;393;1060;Puerto
958;259;2723;Bodega Norte
959;378;4650;Puerto
960;259;8722;Puerto
961;195;4256;Puerto
962;93;4415;Bodega Sur
963;41;1033;Bodega Norte
964;298;5513;Bodega Sur
965;487;1536;Puerto
966;355;4923;Bodega Sur
967;227;7553;Puerto
968;190;6327;Bodega Norte
969;385;5745;Puerto
970;45;240;Puerto
971;97;958;Bodega Norte
972;469;6103;Bodega Sur
973;146;5062;Bodega Norte
974;145;2425;Puerto
975;122;5919;Bodega Norte
976;44;5598;Puerto
977;373;2532;Bodega Sur
978;445;501;Puerto
979;447;4203;Bodega Sur
980;354;1775;Puerto
981;395;2738;Bodega Norte
982;202;7087;Bodega Norte
983;33;2620;Bodega Sur
984;236;9179;Bodega Norte
985;227;8444;Bodega Norte
986;220;1147;Bodega Norte
987;311;1187;Bodega Sur
988;371;1937;Puerto
989;18;7728;Bodega Sur
990;483;6486;Puerto
991;29;3236;Bodega Norte
992;60;3459;Puerto
993;31;2603;Bodega Sur
994;449;7852;Bodega Norte
995;479;1132;Puerto
996;444;8296;Bodega Norte
997;166;6040;Bodega Sur
998;292;5979;Puerto
999;117;4426;Puerto
1000;246;8794;Puerto
1001;438;4634;Bodega Norte
1002;424;3549;Puerto
