ID_costo;Planta;Energía_CLP;Mano_obra_CLP;Mantención_CLP;Mes
115;Hornopirén;1779886;3004467;1241143;12
116;Quellón;2471124;3565306;1347880;5
117;Chinquihue;1430676;3965357;1205520;9
118;Quellón;2799132;3795621;920810;11
119;Quellón;2396365;1367934;1050305;6
120;Calbuco;1614526;2778210;1248970;9
121;Quellón;1159756;3379985;1585489;2
122;Chinquihue;2259270;1680698;1146254;10
123;Hornopirén;1153985;2622930;823910;10
124;Calbuco;2533587;1697371;931100;10
125;Quellón;2625589;3876875;1251744;11
126;Calbuco;2167377;4080989;1572634;11
127;Chinquihue;1155421;3269970;1062897;1
128;Hornopirén;2328413;3179270;945146;10
129;Chinquihue;2105758;3229866;794107;3
130;Puerto Montt;1366666;3453264;899276;3
131;Hornopirén;2548932;2695834;825902;7
132;Quellón;1046445;984948;1141594;11
133;Hornopirén;1924443;3530584;1264442;7
134;Calbuco;2380234;1905647;944467;1
135;Puerto Montt;2703371;3048685;1268451;8
136;Hornopirén;1718040;2951227;1702330;12
137;Calbuco;1640541;3051941;1436735;4
138;Puerto Montt;2788684;3001566;1194051;4
139;Puerto Montt;1665405;2469060;545285;2
140;Calbuco;1811870;2223115;1200208;12
141;Calbuco;2160042;3331907;927388;3
142;Quellón;1818028;2610617;342849;3
143;Calbuco;1908473;3421733;1289015;7
144;Puerto Montt;2231472;3819867;1004517;7
145;Hornopirén;2716241;1939010;899861;9
146;Puerto Montt;2257827;5201973;908336;4
147;Quellón;1480430;3397796;779517;5
148;Quellón;1835905;3190992;896525;9
149;Puerto Montt;697332;1607071;1228052;5
150;Calbuco;2519806;2063756;1784992;1
151;Quellón;2185259;2740034;1077607;12
152;Quellón;2291611;2691967;541769;7
153;Calbuco;1787651;3483141;1117926;10
154;Calbuco;2306075;3384713;997872;2
155;Hornopirén;2013697;2942094;1030688;8
156;Puerto Montt;2138774;4136894;1303794;8
157;Hornopirén;1991939;2988676;866190;9
158;Hornopirén;2406364;2652939;701164;3
159;Calbuco;1848199;3411860;876919;3
160;Hornopirén;1651776;3476736;858932;11
161;Chinquihue;2615137;3405215;1163411;12
162;Hornopirén;1528189;3344356;1005668;12
163;Chinquihue;1772154;2041092;997263;10
164;Calbuco;1804673;2510012;867969;11
165;Hornopirén;2726801;2623525;558007;9
166;Hornopirén;2547881;1940394;647486;12
167;Quellón;1994677;3828102;1019920;11
168;Puerto Montt;1670567;2339529;1101294;3
169;Quellón;1777168;3528479;852073;9
170;Hornopirén;2397162;3126184;1704675;3
171;Hornopirén;2139433;2464330;926523;4
172;Puerto Montt;1311273;3458609;1062134;5
173;Puerto Montt;3013895;2342303;1197201;10
174;Hornopirén;2094351;3437574;674499;12
175;Chinquihue;1973142;2211054;727199;4
176;Quellón;2387025;3785558;749677;9
177;Hornopirén;2658243;3228537;1333060;11
178;Chinquihue;2147992;4076837;675809;8
179;Calbuco;2497760;2527129;1251153;10
180;Quellón;907864;3408427;1449693;11
181;Hornopirén;1288684;3487863;390318;2
182;Puerto Montt;2659382;2825014;1086585;8
183;Hornopirén;2730197;3405077;1124259;10
184;Hornopirén;1556121;3110105;1561580;10
185;Calbuco;2355028;3595255;1209422;2
186;Chinquihue;2317715;2294933;653544;5
187;Hornopirén;1959376;1574212;542567;6
188;Quellón;2479536;3542961;709151;11
189;Chinquihue;1873547;2575208;1099674;4
190;Quellón;2335942;2200714;1400838;10
191;Quellón;740772;1277390;1508211;3
192;Hornopirén;2591563;2481362;1158650;2
193;Hornopirén;1419987;2415578;910867;5
194;Quellón;2153138;3289051;1136491;12
195;Chinquihue;841947;2226549;906659;8
196;Calbuco;2642496;3602842;1103222;6
197;Quellón;2176469;2383635;1587963;4
198;Quellón;2323039;3176229;702715;12
199;Calbuco;1406856;2961134;1053335;1
200;Hornopirén;2155750;2788075;1189231;11
201;Hornopirén;2074796;2644172;1210675;6
202;Hornopirén;1487051;2868302;977083;2
203;Calbuco;1909765;2553265;1264562;11
204;Puerto Montt;1474603;2886653;1036505;2
205;Hornopirén;2424926;4009551;687460;5
206;Quellón;2127006;2979430;1036989;6
207;Quellón;1961537;2408616;1037759;12
208;Calbuco;1719990;2563838;1626271;5
209;Hornopirén;2291906;4696628;970348;12
210;Hornopirén;1572249;4262043;826307;1
211;Calbuco;1575384;2183691;1232054;9
212;Quellón;2222394;2715468;1331180;11
213;Chinquihue;1301051;2851516;858649;2
214;Chinquihue;1576817;2915319;1232527;10
215;Hornopirén;2333267;2888348;482067;6
216;Quellón;2436985;3422212;935962;5
217;Chinquihue;2406484;4083441;954648;10
218;Quellón;2145474;2859261;1337139;3
219;Quellón;2174724;4011896;1222081;6
220;Chinquihue;1139571;3488285;220156;4
221;Quellón;964482;2770685;855937;6
222;Chinquihue;2339465;2277127;928325;7
223;Quellón;2644513;3773700;825604;3
224;Quellón;2460113;3239040;932895;3
225;Chinquihue;2648600;1642765;1084190;6
226;Puerto Montt;2556797;1883245;683958;3
227;Quellón;2059048;3154635;1638323;4
228;Puerto Montt;2099955;3168423;389698;11
229;Quellón;1919554;1760464;669414;12
230;Chinquihue;2253950;2144338;559983;11
231;Quellón;1685959;3229188;686658;1
232;Calbuco;2551503;2753814;728897;2
233;Calbuco;1161939;3348126;1334964;11
234;Puerto Montt;1823196;3858373;948653;8
235;Puerto Montt;2049504;2042025;1210514;4
236;Calbuco;2029672;3856053;1468694;11
237;Puerto Montt;1699830;1957518;1053612;2
238;Calbuco;2010766;4226864;396927;10
239;Chinquihue;1461652;3204552;826028;12
240;Hornopirén;1692098;3768025;82085;8
241;Puerto Montt;1241764;4835001;1365834;10
242;Quellón;1527788;2268792;1183963;10
243;Quellón;1604164;2384048;296249;3
244;Calbuco;1772113;4198093;930183;10
245;Puerto Montt;1275367;3617669;1003966;11
246;Calbuco;1738319;1770810;1119224;7
247;Puerto Montt;1931010;2298895;1215094;8
248;Chinquihue;3028829;2225786;882745;5
249;Calbuco;2660266;3329828;1019593;1
250;Calbuco;2628355;2166815;1125909;11
251;Hornopirén;2722468;3901203;1269504;7
252;Calbuco;2443721;3512904;826850;2
253;Hornopirén;1512554;3978996;833396;8
254;Quellón;2502659;3596496;1315952;6
255;Chinquihue;1974731;3972155;1639594;8
256;Calbuco;2393023;2540011;1253818;12
257;Calbuco;2360635;3723412;440583;3
258;Puerto Montt;1511293;3518095;1061245;12
259;Puerto Montt;2138526;4400576;828102;11
260;Hornopirén;2200080;3806358;1253563;11
261;Puerto Montt;1402050;2984211;823790;9
262;Hornopirén;2206540;3379775;1270718;9
263;Chinquihue;1136706;3027616;986759;2
264;Quellón;1617112;2495458;1182421;7
265;Quellón;2331184;3349063;477880;10
266;Quellón;1058794;3616297;1269465;9
267;Chinquihue;1968882;3136112;985608;12
268;Calbuco;532154;4295436;1164596;9
269;Puerto Montt;2345105;2401574;1014198;2
270;Calbuco;2237517;2796311;1103741;6
271;Puerto Montt;1946477;739270;721495;10
272;Chinquihue;2513064;2784455;966339;4
273;Hornopirén;2312987;3110574;841222;4
274;Hornopirén;1466669;2856915;1085287;4
275;Quellón;2337686;3786178;1787038;12
276;Hornopirén;1191953;1876008;679387;7
277;Puerto Montt;1561557;3014673;855553;3
278;Calbuco;1834066;2934502;977049;3
279;Hornopirén;2424061;2845757;1557519;12
280;Hornopirén;1926629;2861186;924059;7
281;Puerto Montt;1910152;4284760;1492783;4
282;Calbuco;1368809;3875234;1080628;11
283;Quellón;1988180;2628586;787645;11
284;Puerto Montt;1954075;3208811;674299;10
285;Quellón;1901311;2279928;1409920;4
286;Calbuco;1778526;1645691;911151;2
287;Chinquihue;2623433;3085480;1218374;8
288;Calbuco;1176523;3605190;891155;1
289;Chinquihue;1247213;3870844;1238098;2
290;Chinquihue;2167686;3858155;1192425;5
291;Chinquihue;1710261;2537142;1483808;10
292;Chinquihue;2307966;3828010;1073650;2
293;Hornopirén;1801507;3951815;628701;7
294;Hornopirén;1453403;2618426;711617;9
295;Puerto Montt;1287696;3397506;1107691;5
296;Calbuco;1457346;2399026;470137;11
297;Calbuco;2257007;3788196;1595144;6
298;Puerto Montt;1864941;3149698;1643148;4
299;Puerto Montt;2726350;4240449;1069308;10
300;Puerto Montt;1924225;2394874;1224879;2
301;Calbuco;2274785;1756527;1159445;5
302;Chinquihue;2451842;3512187;900136;3
303;Puerto Montt;2287946;3618328;2004884;6
304;Calbuco;1786545;3280414;1048548;4
305;Hornopirén;1694391;2271267;1538450;2
306;Puerto Montt;2405946;3273679;877948;12
307;Calbuco;1978662;2824482;985153;1
308;Chinquihue;1117843;3078812;1013041;11
309;Calbuco;2262516;2402664;1021500;10
310;Calbuco;2101011;2649163;880477;5
311;Hornopirén;2355485;2884057;971941;11
312;Calbuco;1626578;3239578;1040129;6
313;Hornopirén;1990807;3796687;754104;6
314;Puerto Montt;2053601;3313150;1786740;2
315;Chinquihue;1890446;3063363;1025303;8
316;Hornopirén;2074052;3991417;931930;5
317;Hornopirén;1402275;3639550;898508;12
318;Chinquihue;1265762;3614885;889849;3
319;Calbuco;1625203;1991669;1186680;3
320;Chinquihue;2233262;2923967;1683059;8
321;Calbuco;1839500;2700215;1450382;10
322;Chinquihue;1804709;3306783;1037708;8
323;Quellón;2114118;3339358;651351;2
324;Calbuco;1744803;3111750;1593387;8
325;Hornopirén;2151189;2599797;1097647;9
326;Quellón;1180958;2949095;666912;1
327;Quellón;1881936;3439168;1013493;4
328;Quellón;1661622;3133449;1187570;8
329;Puerto Montt;1476246;2734180;1114462;4
330;Calbuco;2026701;1856272;1041969;9
331;Calbuco;2320873;3042635;1298198;3
332;Puerto Montt;2577095;3073153;1071603;5
333;Hornopirén;2794817;2703295;1257683;5
334;Quellón;1545916;3406365;657318;11
335;Calbuco;2803880;3124751;1100362;3
336;Quellón;1541010;3224953;1092772;11
337;Quellón;2085409;4228133;1589457;12
338;Quellón;1790725;2496366;808242;2
339;Puerto Montt;1669985;2165791;1151810;6
340;Puerto Montt;2029640;2450961;1217613;6
341;Calbuco;2355426;3786513;510628;7
342;Calbuco;1888915;4284448;491794;1
343;Puerto Montt;2399312;3903940;1115231;10
344;Chinquihue;2112851;2249632;1299088;3
345;Quellón;2794302;3733045;969409;7
346;Puerto Montt;2493803;3106572;610880;4
347;Chinquihue;2882004;4453721;1017487;11
348;Calbuco;2173282;2793495;933383;8
349;Hornopirén;2611412;4186454;1228832;5
350;Calbuco;3017554;2405900;560175;6
351;Chinquihue;1800241;4057353;1174662;11
352;Calbuco;2145670;3310508;1056007;9
353;Hornopirén;1393626;1467599;1510721;11
354;Chinquihue;1347388;2854323;1216568;7
355;Hornopirén;2155810;3740930;662956;12
356;Puerto Montt;1812651;2688419;1127990;1
357;Puerto Montt;1244168;1843571;874770;8
358;Calbuco;2717758;5780026;677311;9
359;Chinquihue;1893253;2792047;915031;5
360;Puerto Montt;1020180;3802793;606868;3
361;Calbuco;2840574;3737896;1520710;2
362;Puerto Montt;1555603;2027673;948283;1
363;Quellón;1993452;3051785;1345076;5
364;Quellón;1407654;3892596;1256199;1
365;Hornopirén;1609202;1896898;655372;10
366;Calbuco;2220748;2620364;1134085;12
367;Calbuco;2095664;3338747;1211073;4
368;Calbuco;2798887;2322841;714639;2
369;Calbuco;1482053;3780941;885336;11
370;Calbuco;2737052;3616997;980745;4
371;Hornopirén;1385568;3533421;867382;8
372;Chinquihue;1427488;3916919;1010407;11
373;Hornopirén;1948447;3525362;1034646;5
374;Chinquihue;2257555;3296587;573052;11
375;Calbuco;1848078;2476427;1677952;12
376;Calbuco;2036610;3469345;1021517;4
377;Quellón;1320532;3502220;1032471;5
378;Quellón;1850883;3190027;1298292;10
379;Calbuco;1940679;2465435;1094977;6
380;Calbuco;2311309;2977215;685221;1
381;Quellón;1270619;3398009;495330;5
382;Puerto Montt;1717099;2003318;1306194;8
383;Chinquihue;2192967;3696233;1257661;9
384;Calbuco;1811861;2534491;1311444;10
385;Calbuco;2385701;2088030;927569;12
386;Quellón;2326575;3013996;924762;12
387;Hornopirén;1165229;2174427;1226540;10
388;Quellón;1967514;3393937;1110350;8
389;Calbuco;1532894;4403928;916639;3
390;Chinquihue;2415319;4035450;1098828;12
391;Chinquihue;1959965;2529127;1017274;11
392;Calbuco;2212691;3860719;957424;12
393;Quellón;1983121;3416343;371551;5
394;Calbuco;1620901;4521204;925712;4
395;Puerto Montt;1453287;3039969;672026;2
396;Calbuco;2953703;4953515;828722;8
397;Puerto Montt;1642146;4042763;996302;4
398;Chinquihue;2171408;3190611;1055670;7
399;Hornopirén;1819693;3102042;619842;12
400;Hornopirén;2339840;3315941;1300516;3
401;Chinquihue;2379194;3325046;878953;8
402;Quellón;1554548;2477224;468252;9
403;Calbuco;1691866;2253946;862827;2
404;Chinquihue;1405557;2344035;1137262;9
405;Puerto Montt;2045464;2172729;1064377;2
406;Quellón;2058429;3585519;428905;8
407;Calbuco;2079019;3979590;589701;1
408;Calbuco;1865654;3627742;1341591;7
409;Puerto Montt;2154156;2471353;698814;11
410;Chinquihue;1266012;2945029;918283;10
411;Calbuco;2596029;2517415;1724963;12
412;Chinquihue;2597315;3435309;890508;9
413;Puerto Montt;1785608;3565641;442019;2
414;Calbuco;2176862;3175269;744036;6
415;Chinquihue;3169725;2810827;387268;8
416;Chinquihue;2371448;2269760;792985;1
417;Puerto Montt;1475416;3341496;1056654;8
418;Quellón;849361;3040631;1084279;7
419;Hornopirén;1693516;2848641;1096660;11
420;Puerto Montt;2387022;2227813;1012704;6
421;Chinquihue;2224582;3349603;1078462;9
422;Hornopirén;2192018;3027679;1009990;4
423;Puerto Montt;1973441;2612387;1083429;8
424;Chinquihue;2292296;2086007;1428067;2
425;Hornopirén;3058086;4048063;567803;3
426;Puerto Montt;1597537;2386884;883078;12
427;Hornopirén;2304973;3087665;812872;5
428;Puerto Montt;2693487;3032776;1170012;8
429;Chinquihue;3174649;3154649;754907;9
430;Chinquihue;2402719;2972447;1137451;4
431;Chinquihue;2394759;5377941;1143118;11
432;Hornopirén;2003034;3999232;1170455;8
433;Hornopirén;1439742;3146632;970926;7
434;Puerto Montt;1485130;3922165;1100532;8
435;Calbuco;2252849;2940802;959802;9
436;Chinquihue;2057467;3013956;917318;1
437;Puerto Montt;1998543;2683344;1013038;6
438;Chinquihue;2333347;3023971;1060120;8
439;Chinquihue;1920090;2691808;1561098;5
440;Puerto Montt;2171207;977037;1069007;9
441;Calbuco;1573660;4206990;261901;6
442;Hornopirén;2389272;2764864;864214;5
443;Chinquihue;1671078;3443458;1259077;10
444;Puerto Montt;3772518;4135185;962239;5
445;Hornopirén;1360815;3881359;1119295;9
446;Chinquihue;2493132;3642554;613465;4
447;Puerto Montt;1498387;4331591;1697938;1
448;Quellón;2542295;4276245;1404664;4
449;Chinquihue;1392733;2502548;1282339;10
450;Chinquihue;1532163;941644;636146;2
451;Calbuco;2075284;2830908;1331565;9
452;Quellón;3041824;2895767;838424;2
453;Quellón;3052399;5148821;960196;12
454;Hornopirén;1679892;3560055;847073;2
455;Calbuco;2340477;3031038;632080;9
456;Hornopirén;2438339;3216261;998806;12
457;Hornopirén;1278627;2006383;682713;6
458;Chinquihue;1846577;2524198;985523;9
459;Hornopirén;1246593;3083156;387278;8
460;Quellón;2261651;2671065;643738;11
461;Calbuco;1238356;2842839;1373807;1
462;Chinquihue;2226872;4141438;765253;8
463;Puerto Montt;2016888;2612461;1140413;11
464;Quellón;1415868;1433690;760903;7
465;Quellón;1962903;2187393;826198;7
466;Puerto Montt;1495069;3441350;793196;3
467;Calbuco;2016586;2485788;905496;9
468;Puerto Montt;1840771;2233158;368264;2
469;Quellón;1728463;4467532;959428;5
470;Calbuco;1950951;2820462;646220;7
471;Quellón;1933447;2134953;525604;3
472;Quellón;1474276;4078440;1356195;5
473;Quellón;1952380;3938926;463625;11
474;Hornopirén;1608007;3854557;765831;9
475;Calbuco;1769690;3398866;392401;1
476;Puerto Montt;1675538;2762473;1377838;6
477;Chinquihue;2045362;4240964;1194505;7
478;Puerto Montt;2282272;3736379;1084202;12
479;Hornopirén;2377309;3869644;335615;11
480;Calbuco;2001745;3043258;1242245;3
481;Hornopirén;2855595;2973781;925412;4
482;Hornopirén;1904059;3386114;1015560;12
483;Puerto Montt;1788075;3670438;703670;7
484;Chinquihue;1888686;3177929;570061;10
485;Puerto Montt;1454384;3019055;581254;8
486;Puerto Montt;2453160;1907193;1137121;9
487;Quellón;2121972;2647106;887758;8
488;Puerto Montt;2515974;3261424;824248;9
489;Hornopirén;1514991;3427905;932761;3
490;Chinquihue;1714899;3197879;1422406;10
491;Puerto Montt;1575993;3120394;1641624;3
492;Chinquihue;2623532;2681001;1358219;5
493;Calbuco;1927757;1884179;930288;4
494;Hornopirén;1815978;2831376;887012;8
495;Hornopirén;1473176;2217343;988570;1
496;Chinquihue;2922703;4658087;972915;10
497;Puerto Montt;2954032;4272047;691456;11
498;Puerto Montt;2203803;3761175;1236735;3
499;Calbuco;2183917;4658755;1128147;8
500;Puerto Montt;2240841;3167030;1061412;10
501;Puerto Montt;1135142;2653863;1297873;1
502;Calbuco;1748715;2130797;1110543;2
503;Hornopirén;2299411;1389070;1037215;6
504;Hornopirén;1215417;3174857;981287;3
505;Calbuco;1664696;3788437;1005911;11
506;Quellón;1549691;2389971;855799;7
507;Quellón;2097784;2524443;998592;4
508;Quellón;1616691;2587596;1394214;1
509;Hornopirén;1984743;1954827;1135433;3
510;Puerto Montt;1502345;2947978;1735698;10
511;Hornopirén;1901196;2666817;1108939;5
512;Quellón;2661475;4003019;920057;7
513;Chinquihue;1764676;3304478;800428;9
514;Calbuco;2281785;2807175;655679;4
515;Chinquihue;2022954;2206204;1219893;7
516;Puerto Montt;2281938;2718966;964185;11
517;Calbuco;2004550;3197104;922850;4
518;Chinquihue;1738434;2369298;1095160;11
519;Puerto Montt;2565505;3032491;1363407;6
520;Chinquihue;1852989;2168019;1324310;4
521;Chinquihue;1346434;3442425;1134633;2
522;Calbuco;3160277;2734044;885452;3
523;Puerto Montt;1447825;3005619;1632399;4
524;Puerto Montt;1661298;4183116;696383;5
525;Quellón;1188769;5063690;1333811;4
526;Hornopirén;2842314;3059133;1178861;4
527;Chinquihue;2054916;3507892;1280565;3
528;Puerto Montt;1218720;4473438;1514930;8
529;Puerto Montt;1488907;2425794;1124047;2
530;Chinquihue;1437823;2174639;903968;12
531;Chinquihue;1995228;2338272;1404396;5
532;Calbuco;3202484;3344365;1051326;3
533;Hornopirén;2902768;1803302;929704;12
534;Calbuco;1798780;3483203;811751;9
535;Quellón;2476376;2459312;1052833;1
536;Calbuco;2009980;2694613;1321435;6
537;Puerto Montt;3162054;2831914;974413;4
538;Hornopirén;1609675;2346404;1043217;7
539;Hornopirén;2066104;3981420;992769;8
540;Chinquihue;1739877;4977439;794285;3
541;Chinquihue;1806799;3593662;1338969;12
542;Calbuco;2842418;3683994;1043409;9
543;Calbuco;3171988;1440675;1339495;4
544;Quellón;2863406;2169288;1063243;4
545;Chinquihue;2163865;3363723;1650622;2
546;Puerto Montt;1961855;2184513;1037442;2
547;Hornopirén;2486430;3979621;1307653;11
548;Quellón;1716323;2728797;746278;3
549;Chinquihue;2869650;2822197;1164970;5
550;Quellón;2226523;4323082;870325;7
551;Quellón;2285013;2847978;858399;9
552;Chinquihue;2806375;1990561;1280507;11
553;Hornopirén;1677291;3338571;502361;1
554;Puerto Montt;1888351;3294489;1255418;9
555;Hornopirén;2440418;1126301;1395082;3
556;Hornopirén;1555792;3591330;766741;11
557;Chinquihue;2239122;3360259;370420;6
558;Quellón;2387408;2333549;1445770;10
559;Quellón;1749307;1598552;451104;10
560;Calbuco;1902616;2372140;1097939;11
561;Chinquihue;2293670;2366864;1231170;6
562;Calbuco;3022436;3036508;773375;8
563;Chinquihue;2452058;2804800;846888;2
564;Quellón;1866778;3676348;757030;12
565;Calbuco;1732072;3867559;905686;9
566;Chinquihue;949473;2829837;1084333;8
567;Quellón;1833235;3457158;1292188;3
568;Puerto Montt;2339558;3489973;1193258;12
569;Puerto Montt;1779370;3848068;768640;7
570;Quellón;1090728;3019887;971908;9
571;Quellón;1981925;3149551;1152792;4
572;Chinquihue;2383990;3991346;1323457;9
573;Calbuco;2228688;3824593;1333333;7
574;Hornopirén;2593767;2954574;1232116;9
575;Quellón;1928225;2295949;936162;9
576;Hornopirén;2089489;3817507;1069893;11
577;Quellón;2953498;3485395;832133;4
578;Chinquihue;2185861;3112831;1312605;11
579;Calbuco;2837921;3022028;934188;7
580;Chinquihue;1977314;3049996;793636;10
581;Puerto Montt;2126987;2585716;1074344;10
582;Hornopirén;1793782;2186134;827434;12
583;Puerto Montt;2553238;3036832;596181;6
584;Calbuco;2783320;2190856;590225;5
585;Quellón;1840177;3580373;1256921;5
586;Quellón;1839230;4857085;980938;6
587;Calbuco;1922783;2903696;1014580;9
588;Chinquihue;1755694;2413838;502616;2
589;Puerto Montt;2632523;3027086;884640;8
590;Quellón;1695489;2394553;1374719;2
591;Puerto Montt;1243333;3641101;771420;4
592;Calbuco;2333964;3473317;1517659;2
593;Quellón;2115775;2301773;1218995;4
594;Puerto Montt;2241996;2763788;933050;3
595;Puerto Montt;2589291;4092298;1071404;6
596;Quellón;1351889;2719863;1183290;2
597;Puerto Montt;1689414;3192724;1301379;5
598;Quellón;2237762;1312083;546654;11
599;Puerto Montt;2219362;3026571;1047703;12
600;Quellón;2420836;4076289;965372;5
601;Calbuco;2699289;3249373;1305840;2
602;Calbuco;1401131;2972572;913788;6
603;Hornopirén;2106311;2410119;615635;10
604;Puerto Montt;3186326;2157611;1210648;2
605;Hornopirén;1628886;2823051;1568072;10
606;Hornopirén;2330173;2717925;1421082;8
607;Calbuco;1760490;2975176;1084236;8
608;Quellón;1292306;2527015;1066192;7
609;Hornopirén;1685095;2738248;989790;2
610;Chinquihue;1601734;2213385;772124;10
611;Puerto Montt;2229377;3755864;1441690;10
612;Calbuco;1829734;4083960;1017764;11
613;Hornopirén;1096020;3765690;1358745;9
614;Chinquihue;1691280;2775640;1695515;10
615;Puerto Montt;1579368;3286135;730362;6
616;Chinquihue;2310405;2052739;1246230;10
617;Puerto Montt;1622654;2866476;1170963;4
618;Chinquihue;2263455;4057154;1039009;6
619;Puerto Montt;2287740;3861838;1410453;11
620;Chinquihue;2058063;2489873;883039;6
621;Chinquihue;2282003;2143783;704604;12
622;Puerto Montt;1717867;2937196;1251985;7
623;Calbuco;1744141;2256240;1112811;4
624;Puerto Montt;2965405;3654683;733036;8
625;Puerto Montt;2003049;3718341;1033229;12
626;Calbuco;1388724;3400815;1165245;9
627;Chinquihue;1664968;2490233;748467;6
628;Calbuco;2134583;2654939;930601;3
629;Hornopirén;2229504;2407838;1072293;7
630;Quellón;2081062;1498672;1420057;5
