ID_produccion;ID_producto;Planta;ID_empleado;Kilos_producidos;Fecha
160;109;Calbuco;2118;1044;2021-01-07 15:00:00
161;478;Chinquihue;362;633;2021-01-07 16:00:00
162;8;Puerto Montt;1534;1266;2021-01-07 17:00:00
163;347;Puerto Montt;2490;1016;2021-01-07 18:00:00
164;240;Puerto Montt;130;613;2021-01-07 19:00:00
165;82;Puerto Montt;2797;1365;2021-01-07 20:00:00
166;328;Calbuco;1672;1081;2021-01-07 21:00:00
167;170;Chinquihue;1844;1330;2021-01-07 22:00:00
168;346;Puerto Montt;1325;1148;2021-01-07 23:00:00
169;48;Chinquihue;911;832;2021-01-08 00:00:00
170;224;Quellón;2208;1230;2021-01-08 01:00:00
171;354;Hornopirén;420;1472;2021-01-08 02:00:00
172;465;Chinquihue;403;740;2021-01-08 03:00:00
173;111;Hornopirén;1674;1310;2021-01-08 04:00:00
174;165;Hornopirén;1195;1044;2021-01-08 05:00:00
175;186;Hornopirén;1652;1152;2021-01-08 06:00:00
176;38;Puerto Montt;1747;884;2021-01-08 07:00:00
177;97;Hornopirén;476;1280;2021-01-08 08:00:00
178;145;Puerto Montt;323;998;2021-01-08 09:00:00
179;123;Calbuco;707;1248;2021-01-08 10:00:00
180;137;Quellón;165;1203;2021-01-08 11:00:00
181;330;Hornopirén;2717;972;2021-01-08 12:00:00
182;491;Puerto Montt;162;1316;2021-01-08 13:00:00
183;250;Chinquihue;1324;888;2021-01-08 14:00:00
184;477;Calbuco;2180;1146;2021-01-08 15:00:00
185;335;Chinquihue;2171;1204;2021-01-08 16:00:00
186;333;Calbuco;2967;888;2021-01-08 17:00:00
187;140;Chinquihue;2612;940;2021-01-08 18:00:00
188;66;Chinquihue;1980;699;2021-01-08 19:00:00
189;411;Calbuco;1774;818;2021-01-08 20:00:00
190;212;Puerto Montt;2495;997;2021-01-08 21:00:00
191;108;Puerto Montt;547;1360;2021-01-08 22:00:00
192;367;Calbuco;554;837;2021-01-08 23:00:00
193;121;Chinquihue;1240;1029;2021-01-09 00:00:00
194;11;Puerto Montt;1348;877;2021-01-09 01:00:00
195;21;Quellón;677;1010;2021-01-09 02:00:00
196;479;Chinquihue;2404;1070;2021-01-09 03:00:00
197;414;Chinquihue;2314;1032;2021-01-09 04:00:00
198;194;Hornopirén;2725;657;2021-01-09 05:00:00
199;251;Chinquihue;2445;968;2021-01-09 06:00:00
200;472;Puerto Montt;1769;1184;2021-01-09 07:00:00
201;13;Calbuco;863;1205;2021-01-09 08:00:00
202;64;Chinquihue;354;1433;2021-01-09 09:00:00
203;131;Puerto Montt;1065;1108;2021-01-09 10:00:00
204;483;Puerto Montt;2750;949;2021-01-09 11:00:00
205;1;Puerto Montt;526;1483;2021-01-09 12:00:00
206;478;Quellón;2563;985;2021-01-09 13:00:00
207;369;Hornopirén;788;754;2021-01-09 14:00:00
208;300;Puerto Montt;2275;-946;2021-01-09 15:00:00
209;28;Puerto Montt;725;868;2021-01-09 16:00:00
210;462;Puerto Montt;1394;938;2021-01-09 17:00:00
211;334;Chinquihue;333;600;2021-01-09 18:00:00
212;64;Calbuco;2043;1090;2021-01-09 19:00:00
213;329;Chinquihue;2787;1176;2021-01-09 20:00:00
214;304;Quellón;2882;914;2021-01-09 21:00:00
215;169;Quellón;1934;862;2021-01-09 22:00:00
216;391;Calbuco;2377;675;2021-01-09 23:00:00
217;166;Calbuco;1035;1315;2021-01-10 00:00:00
218;126;Chinquihue;1306;-1100;2021-01-10 01:00:00
219;415;Hornopirén;1509;1138;2021-01-10 02:00:00
220;469;Quellón;246;1452;2021-01-10 03:00:00
221;392;Hornopirén;835;719;2021-01-10 04:00:00
222;225;Puerto Montt;1117;763;2021-01-10 05:00:00
223;98;Hornopirén;2155;1125;2021-01-10 06:00:00
224;456;Chinquihue;1876;1303;2021-01-10 07:00:00
225;379;Hornopirén;2866;1223;2021-01-10 08:00:00
226;58;Calbuco;2152;1020;2021-01-10 09:00:00
227;233;Calbuco;2972;1013;2021-01-10 10:00:00
228;225;Puerto Montt;82;954;2021-01-10 11:00:00
229;244;Puerto Montt;1734;1737;2021-01-10 12:00:00
230;298;Quellón;1002;752;2021-01-10 13:00:00
231;159;Quellón;602;1201;2021-01-10 14:00:00
232;222;Quellón;862;915;2021-01-10 15:00:00
233;364;Quellón;1948;1059;2021-01-10 16:00:00
234;475;Chinquihue;1531;561;2021-01-10 17:00:00
235;455;Quellón;2915;1107;2021-01-10 18:00:00
236;249;Chinquihue;768;664;2021-01-10 19:00:00
237;401;Hornopirén;2070;1022;2021-01-10 20:00:00
238;249;Hornopirén;712;1098;2021-01-10 21:00:00
239;431;Puerto Montt;849;-1053;2021-01-10 22:00:00
240;299;Quellón;2611;1275;2021-01-10 23:00:00
241;90;Quellón;1793;1101;2021-01-11 00:00:00
242;307;Hornopirén;1411;1049;2021-01-11 01:00:00
243;432;Quellón;1743;316;2021-01-11 02:00:00
244;313;Puerto Montt;2853;955;2021-01-11 03:00:00
245;471;Chinquihue;2188;1129;2021-01-11 04:00:00
246;53;Puerto Montt;1344;779;2021-01-11 05:00:00
247;419;Quellón;2698;1479;2021-01-11 06:00:00
248;252;Calbuco;891;1588;2021-01-11 07:00:00
249;67;Quellón;1520;975;2021-01-11 08:00:00
250;57;Puerto Montt;67;1150;2021-01-11 09:00:00
251;409;Chinquihue;326;1053;2021-01-11 10:00:00
252;462;Calbuco;1453;1184;2021-01-11 11:00:00
253;143;Calbuco;1555;867;2021-01-11 12:00:00
254;242;Quellón;2385;238;2021-01-11 13:00:00
255;137;Puerto Montt;217;1169;2021-01-11 14:00:00
256;321;Puerto Montt;2096;939;2021-01-11 15:00:00
257;284;Puerto Montt;1755;1254;2021-01-11 16:00:00
258;242;Chinquihue;2109;1252;2021-01-11 17:00:00
259;58;Quellón;2655;864;2021-01-11 18:00:00
260;375;Quellón;2528;1120;2021-01-11 19:00:00
261;372;Quellón;2961;1092;2021-01-11 20:00:00
262;299;Puerto Montt;391;670;2021-01-11 21:00:00
263;262;Hornopirén;2655;650;2021-01-11 22:00:00
264;158;Hornopirén;2558;1462;2021-01-11 23:00:00
265;408;Quellón;851;998;2021-01-12 00:00:00
266;382;Chinquihue;1183;591;2021-01-12 01:00:00
267;311;Puerto Montt;895;815;2021-01-12 02:00:00
268;490;Quellón;1044;1143;2021-01-12 03:00:00
269;14;Puerto Montt;431;1185;2021-01-12 04:00:00
270;91;Quellón;240;1017;2021-01-12 05:00:00
271;50;Puerto Montt;334;1155;2021-01-12 06:00:00
272;380;Calbuco;512;923;2021-01-12 07:00:00
273;234;Quellón;2481;1000;2021-01-12 08:00:00
274;124;Calbuco;2297;967;2021-01-12 09:00:00
275;215;Quellón;1238;923;2021-01-12 10:00:00
276;170;Chinquihue;518;1489;2021-01-12 11:00:00
277;134;Calbuco;2115;1114;2021-01-12 12:00:00
278;117;Calbuco;1267;705;2021-01-12 13:00:00
279;22;Quellón;1696;1335;2021-01-12 14:00:00
280;90;Quellón;285;689;2021-01-12 15:00:00
281;86;Quellón;31;1078;2021-01-12 16:00:00
282;280;Puerto Montt;2102;836;2021-01-12 17:00:00
283;218;Chinquihue;199;944;2021-01-12 18:00:00
284;441;Hornopirén;2911;1219;2021-01-12 19:00:00
285;499;Quellón;1848;829;2021-01-12 20:00:00
286;486;Puerto Montt;1036;523;2021-01-12 21:00:00
287;199;Puerto Montt;718;824;2021-01-12 22:00:00
288;209;Quellón;795;1458;2021-01-12 23:00:00
289;61;Quellón;371;972;2021-01-13 00:00:00
290;25;Chinquihue;1419;1131;2021-01-13 01:00:00
291;122;Calbuco;1665;620;2021-01-13 02:00:00
292;439;Calbuco;2166;1237;2021-01-13 03:00:00
293;370;Puerto Montt;2489;958;2021-01-13 04:00:00
294;57;Hornopirén;74;1367;2021-01-13 05:00:00
295;68;Calbuco;2154;826;2021-01-13 06:00:00
296;146;Quellón;1797;1086;2021-01-13 07:00:00
297;376;Calbuco;2373;627;2021-01-13 08:00:00
298;205;Hornopirén;2729;746;2021-01-13 09:00:00
299;108;Calbuco;268;844;2021-01-13 10:00:00
300;441;Hornopirén;1601;746;2021-01-13 11:00:00
301;419;Puerto Montt;379;829;2021-01-13 12:00:00
302;28;Puerto Montt;206;735;2021-01-13 13:00:00
303;119;Quellón;1651;952;2021-01-13 14:00:00
304;169;Quellón;474;504;2021-01-13 15:00:00
305;57;Chinquihue;1225;1039;2021-01-13 16:00:00
306;283;Calbuco;1742;1166;2021-01-13 17:00:00
307;363;Quellón;711;1087;2021-01-13 18:00:00
308;314;Calbuco;507;1050;2021-01-13 19:00:00
309;416;Quellón;1061;702;2021-01-13 20:00:00
310;355;Chinquihue;2825;877;2021-01-13 21:00:00
311;116;Quellón;298;1010;2021-01-13 22:00:00
312;278;Puerto Montt;1017;782;2021-01-13 23:00:00
313;248;Puerto Montt;2915;951;2021-01-14 00:00:00
314;246;Calbuco;1591;737;2021-01-14 01:00:00
315;294;Puerto Montt;767;351;2021-01-14 02:00:00
316;298;Quellón;1365;1333;2021-01-14 03:00:00
317;410;Hornopirén;644;969;2021-01-14 04:00:00
318;257;Quellón;761;-753;2021-01-14 05:00:00
319;370;Hornopirén;1233;1224;2021-01-14 06:00:00
320;347;Puerto Montt;980;1729;2021-01-14 07:00:00
321;156;Chinquihue;517;937;2021-01-14 08:00:00
322;225;Quellón;1052;1044;2021-01-14 09:00:00
323;317;Chinquihue;2454;820;2021-01-14 10:00:00
324;110;Hornopirén;2820;1210;2021-01-14 11:00:00
325;358;Chinquihue;1897;946;2021-01-14 12:00:00
326;253;Chinquihue;422;1286;2021-01-14 13:00:00
327;377;Chinquihue;2166;1178;2021-01-14 14:00:00
328;439;Quellón;498;1405;2021-01-14 15:00:00
329;40;Quellón;1766;734;2021-01-14 16:00:00
330;403;Chinquihue;1658;1264;2021-01-14 17:00:00
331;125;Quellón;2548;1257;2021-01-14 18:00:00
332;40;Hornopirén;358;822;2021-01-14 19:00:00
333;289;Calbuco;2403;1237;2021-01-14 20:00:00
334;341;Calbuco;2161;1384;2021-01-14 21:00:00
335;490;Calbuco;1253;806;2021-01-14 22:00:00
336;96;Calbuco;329;1404;2021-01-14 23:00:00
337;361;Hornopirén;2759;805;2021-01-15 00:00:00
338;117;Quellón;508;1175;2021-01-15 01:00:00
339;163;Chinquihue;1271;1049;2021-01-15 02:00:00
340;37;Puerto Montt;2510;1159;2021-01-15 03:00:00
341;114;Quellón;2026;1177;2021-01-15 04:00:00
342;3;Quellón;2676;1051;2021-01-15 05:00:00
343;303;Chinquihue;1287;1255;2021-01-15 06:00:00
344;493;Calbuco;2146;978;2021-01-15 07:00:00
345;374;Chinquihue;2279;1280;2021-01-15 08:00:00
346;486;Quellón;1206;955;2021-01-15 09:00:00
347;382;Quellón;2446;1072;2021-01-15 10:00:00
348;104;Calbuco;2501;857;2021-01-15 11:00:00
349;376;Calbuco;1323;781;2021-01-15 12:00:00
350;144;Puerto Montt;1488;1216;2021-01-15 13:00:00
351;407;Quellón;1696;1217;2021-01-15 14:00:00
352;77;Chinquihue;2422;718;2021-01-15 15:00:00
353;412;Chinquihue;1053;648;2021-01-15 16:00:00
354;451;Quellón;1711;1364;2021-01-15 17:00:00
355;358;Puerto Montt;183;1086;2021-01-15 18:00:00
356;394;Quellón;1112;1331;2021-01-15 19:00:00
357;452;Hornopirén;465;938;2021-01-15 20:00:00
358;273;Puerto Montt;201;1141;2021-01-15 21:00:00
359;430;Puerto Montt;1840;970;2021-01-15 22:00:00
360;132;Quellón;2430;621;2021-01-15 23:00:00
361;465;Quellón;2667;582;2021-01-16 00:00:00
362;393;Calbuco;1069;472;2021-01-16 01:00:00
363;74;Chinquihue;2715;989;2021-01-16 02:00:00
364;338;Calbuco;1077;646;2021-01-16 03:00:00
365;102;Chinquihue;2672;1119;2021-01-16 04:00:00
366;276;Calbuco;2770;785;2021-01-16 05:00:00
367;419;Calbuco;1495;540;2021-01-16 06:00:00
368;350;Calbuco;2855;1085;2021-01-16 07:00:00
369;238;Chinquihue;924;1197;2021-01-16 08:00:00
370;123;Hornopirén;212;740;2021-01-16 09:00:00
371;301;Calbuco;577;1245;2021-01-16 10:00:00
372;475;Chinquihue;629;991;2021-01-16 11:00:00
373;410;Hornopirén;2448;818;2021-01-16 12:00:00
374;110;Chinquihue;2486;1142;2021-01-16 13:00:00
375;488;Quellón;977;938;2021-01-16 14:00:00
376;429;Puerto Montt;768;898;2021-01-16 15:00:00
377;216;Calbuco;189;950;2021-01-16 16:00:00
378;92;Quellón;771;991;2021-01-16 17:00:00
379;420;Chinquihue;21;897;2021-01-16 18:00:00
380;306;Chinquihue;57;678;2021-01-16 19:00:00
381;58;Puerto Montt;703;597;2021-01-16 20:00:00
382;161;Quellón;175;951;2021-01-16 21:00:00
383;273;Puerto Montt;590;1268;2021-01-16 22:00:00
384;476;Puerto Montt;2911;1187;2021-01-16 23:00:00
385;235;Hornopirén;569;865;2021-01-17 00:00:00
386;257;Puerto Montt;2074;923;2021-01-17 01:00:00
387;499;Quellón;2972;1084;2021-01-17 02:00:00
388;16;Hornopirén;1764;1173;2021-01-17 03:00:00
389;416;Calbuco;278;1207;2021-01-17 04:00:00
390;283;Puerto Montt;1294;756;2021-01-17 05:00:00
391;268;Hornopirén;2790;1063;2021-01-17 06:00:00
392;32;Calbuco;1770;882;2021-01-17 07:00:00
393;362;Chinquihue;2329;806;2021-01-17 08:00:00
394;447;Hornopirén;1974;852;2021-01-17 09:00:00
395;14;Hornopirén;2974;-1064;2021-01-17 10:00:00
396;97;Chinquihue;2968;1105;2021-01-17 11:00:00
397;386;Chinquihue;492;774;2021-01-17 12:00:00
398;492;Chinquihue;1865;913;2021-01-17 13:00:00
399;306;Chinquihue;612;1261;2021-01-17 14:00:00
400;198;Puerto Montt;508;915;2021-01-17 15:00:00
401;241;Calbuco;1272;1083;2021-01-17 16:00:00
402;67;Chinquihue;1070;1313;2021-01-17 17:00:00
403;303;Calbuco;2966;1127;2021-01-17 18:00:00
404;35;Hornopirén;2035;1539;2021-01-17 19:00:00
405;469;Chinquihue;1229;1657;2021-01-17 20:00:00
406;128;Chinquihue;2376;1313;2021-01-17 21:00:00
407;256;Puerto Montt;651;1264;2021-01-17 22:00:00
408;499;Chinquihue;1829;1120;2021-01-17 23:00:00
409;56;Hornopirén;1129;1099;2021-01-18 00:00:00
410;86;Puerto Montt;23;649;2021-01-18 01:00:00
411;141;Chinquihue;1149;1309;2021-01-18 02:00:00
412;123;Quellón;2904;635;2021-01-18 03:00:00
413;14;Hornopirén;996;864;2021-01-18 04:00:00
414;224;Calbuco;2427;951;2021-01-18 05:00:00
415;192;Calbuco;2185;774;2021-01-18 06:00:00
416;401;Chinquihue;2064;1022;2021-01-18 07:00:00
417;21;Puerto Montt;694;1231;2021-01-18 08:00:00
418;262;Calbuco;2772;1217;2021-01-18 09:00:00
419;365;Calbuco;1310;1564;2021-01-18 10:00:00
420;145;Puerto Montt;2441;1031;2021-01-18 11:00:00
421;480;Hornopirén;915;992;2021-01-18 12:00:00
422;487;Quellón;2708;875;2021-01-18 13:00:00
423;442;Hornopirén;1189;1028;2021-01-18 14:00:00
424;305;Chinquihue;2324;1538;2021-01-18 15:00:00
425;295;Quellón;2430;1034;2021-01-18 16:00:00
426;476;Calbuco;1295;530;2021-01-18 17:00:00
427;28;Chinquihue;2614;834;2021-01-18 18:00:00
428;415;Calbuco;2686;796;2021-01-18 19:00:00
429;342;Quellón;2132;1276;2021-01-18 20:00:00
430;281;Puerto Montt;2276;1098;2021-01-18 21:00:00
431;483;Chinquihue;1758;726;2021-01-18 22:00:00
432;353;Hornopirén;1803;1180;2021-01-18 23:00:00
433;446;Quellón;2667;1106;2021-01-19 00:00:00
434;42;Hornopirén;1074;1141;2021-01-19 01:00:00
435;346;Chinquihue;787;1142;2021-01-19 02:00:00
436;381;Puerto Montt;151;1436;2021-01-19 03:00:00
437;21;Puerto Montt;502;592;2021-01-19 04:00:00
438;201;Puerto Montt;2006;764;2021-01-19 05:00:00
439;29;Puerto Montt;1708;974;2021-01-19 06:00:00
440;194;Hornopirén;1752;1049;2021-01-19 07:00:00
441;62;Calbuco;676;1300;2021-01-19 08:00:00
442;458;Hornopirén;613;985;2021-01-19 09:00:00
443;147;Calbuco;1883;918;2021-01-19 10:00:00
444;93;Quellón;2329;1160;2021-01-19 11:00:00
445;44;Puerto Montt;833;1240;2021-01-19 12:00:00
446;222;Puerto Montt;2238;1340;2021-01-19 13:00:00
447;110;Quellón;1895;852;2021-01-19 14:00:00
448;464;Hornopirén;2792;596;2021-01-19 15:00:00
449;456;Quellón;508;513;2021-01-19 16:00:00
450;185;Chinquihue;4;831;2021-01-19 17:00:00
451;332;Calbuco;2090;1240;2021-01-19 18:00:00
452;232;Chinquihue;1309;887;2021-01-19 19:00:00
453;97;Hornopirén;1129;-845;2021-01-19 20:00:00
454;94;Quellón;278;928;2021-01-19 21:00:00
455;347;Chinquihue;52;1033;2021-01-19 22:00:00
456;207;Puerto Montt;2943;1032;2021-01-19 23:00:00
457;210;Puerto Montt;2372;790;2021-01-20 00:00:00
458;271;Puerto Montt;364;824;2021-01-20 01:00:00
459;67;Quellón;1949;547;2021-01-20 02:00:00
460;198;Quellón;661;776;2021-01-20 03:00:00
461;462;Quellón;932;945;2021-01-20 04:00:00
462;419;Chinquihue;1575;979;2021-01-20 05:00:00
463;474;Puerto Montt;9;932;2021-01-20 06:00:00
464;328;Quellón;1512;1217;2021-01-20 07:00:00
465;32;Calbuco;1402;-1326;2021-01-20 08:00:00
466;476;Puerto Montt;1902;1255;2021-01-20 09:00:00
467;220;Puerto Montt;1155;816;2021-01-20 10:00:00
468;305;Chinquihue;2494;947;2021-01-20 11:00:00
469;395;Chinquihue;173;1270;2021-01-20 12:00:00
470;391;Chinquihue;2438;917;2021-01-20 13:00:00
471;161;Puerto Montt;1170;1118;2021-01-20 14:00:00
472;104;Puerto Montt;300;1531;2021-01-20 15:00:00
473;50;Hornopirén;984;1139;2021-01-20 16:00:00
474;137;Puerto Montt;1031;1182;2021-01-20 17:00:00
475;67;Chinquihue;1483;1144;2021-01-20 18:00:00
476;266;Puerto Montt;1817;1195;2021-01-20 19:00:00
477;200;Quellón;1722;947;2021-01-20 20:00:00
478;5;Calbuco;2267;1298;2021-01-20 21:00:00
479;324;Chinquihue;1215;712;2021-01-20 22:00:00
480;338;Puerto Montt;789;1016;2021-01-20 23:00:00
481;211;Hornopirén;1167;1094;2021-01-21 00:00:00
482;476;Hornopirén;1405;751;2021-01-21 01:00:00
483;168;Quellón;5;1239;2021-01-21 02:00:00
